name,rank,year,genre,duration,rating,url,runtime_min,decade
Double Indemnity,104,1944,"Crime, Drama, Film-Noir",1h 47m,8.3,https://www.imdb.com/title/tt0036775/,107.0,1940
Up,105,2009,"Animation, Adventure, Comedy",1h 36m,8.3,https://www.imdb.com/title/tt1049413/,96.0,2000
North by Northwest,106,1959,"Adventure, Drama, Mystery",2h 16m,8.3,https://www.imdb.com/title/tt0053125/,136.0,1950
M - Eine Stadt sucht einen Mörder,107,1931,"Crime, Mystery, Thriller",1h 39m,8.3,https://www.imdb.com/title/tt0022100/,99.0,1930
Full Metal Jacket,108,1987,"Drama, War",1h 56m,8.2,https://www.imdb.com/title/tt0093058/,116.0,1980
Taare Zameen Par,109,2007,"Drama, Family",2h 42m,8.3,https://www.imdb.com/title/tt0986264/,162.0,2000
Citizen Kane,110,1941,"Drama, Mystery",1h 59m,8.2,https://www.imdb.com/title/tt0033467/,119.0,1940
Le fabuleux destin d&apos;Amélie Poulain,111,2001,"Comedy, Romance",2h 2m,8.3,https://www.imdb.com/title/tt0211915/,122.0,2000
Vertigo,112,1958,"Mystery, Romance, Thriller",2h 8m,8.2,https://www.imdb.com/title/tt0052357/,128.0,1950
Jodaeiye Nader az Simin,113,2011,Drama,2h 3m,8.3,https://www.imdb.com/title/tt1832382/,123.0,2010
Die Hard,114,1988,"Action, Thriller",2h 12m,8.2,https://www.imdb.com/title/tt0095016/,132.0,1980
To Kill a Mockingbird,115,1962,"Crime, Drama",2h 9m,8.3,https://www.imdb.com/title/tt0056592/,129.0,1960
The Sting,116,1973,"Comedy, Crime, Drama",2h 9m,8.2,https://www.imdb.com/title/tt0070735/,129.0,1970
Indiana Jones and the Last Crusade,117,1989,"Action, Adventure",2h 7m,8.2,https://www.imdb.com/title/tt0097576/,127.0,1980
A Clockwork Orange,118,1971,"Crime, Sci-Fi",2h 16m,8.2,https://www.imdb.com/title/tt0066921/,136.0,1970
Metropolis,119,1927,"Drama, Sci-Fi",2h 33m,8.2,https://www.imdb.com/title/tt0017136/,153.0,1920
Snatch,120,2000,"Comedy, Crime",1h 42m,8.2,https://www.imdb.com/title/tt0208092/,102.0,2000
1917,121,2019,"Action, Drama, War",1h 59m,8.2,https://www.imdb.com/title/tt8579674/,119.0,2010
L.A. Confidential,122,1997,"Crime, Drama, Mystery",2h 18m,8.2,https://www.imdb.com/title/tt0119488/,138.0,1990
Oppenheimer,123,2023,"Biography, Drama, History",3h,8.3,https://www.imdb.com/title/tt15398776/,180.0,2020
Der Untergang,124,2004,"Biography, Drama, History",2h 36m,8.2,https://www.imdb.com/title/tt0363163/,156.0,2000
Ladri di biciclette,125,1948,Drama,1h 29m,8.2,https://www.imdb.com/title/tt0040522/,89.0,1940
Dangal,126,2016,"Action, Biography, Drama",2h 41m,8.3,https://www.imdb.com/title/tt5074352/,161.0,2010
