name,rank,year,genre,duration,rating,url,runtime_min,decade
Mononoke-hime,83,1997,Animation,2h 13m,8.3,https://www.imdb.com/title/tt0119698/,133.0,1990
Mononoke-hime,83,1997,Adventure,2h 13m,8.3,https://www.imdb.com/title/tt0119698/,133.0,1990
Mononoke-hime,83,1997,Fantasy,2h 13m,8.3,https://www.imdb.com/title/tt0119698/,133.0,1990
American Beauty,84,1999,Drama,2h 2m,8.3,https://www.imdb.com/title/tt0169547/,122.0,1990
3 Idiots,85,2009,Comedy,2h 50m,8.4,https://www.imdb.com/title/tt1187043/,170.0,2000
3 Idiots,85,2009,Drama,2h 50m,8.4,https://www.imdb.com/title/tt1187043/,170.0,2000
Capharnaüm,86,2018,Drama,2h 6m,8.4,https://www.imdb.com/title/tt8267604/,126.0,2010
Joker,87,2019,Crime,2h 2m,8.3,https://www.imdb.com/title/tt7286456/,122.0,2010
Joker,87,2019,Drama,2h 2m,8.3,https://www.imdb.com/title/tt7286456/,122.0,2010
Joker,87,2019,Thriller,2h 2m,8.3,https://www.imdb.com/title/tt7286456/,122.0,2010
C&apos;era una volta in America,88,1984,Crime,3h 49m,8.3,https://www.imdb.com/title/tt0087843/,229.0,1980
C&apos;era una volta in America,88,1984,Drama,3h 49m,8.3,https://www.imdb.com/title/tt0087843/,229.0,1980
Singin&apos; in the Rain,89,1952,Comedy,1h 43m,8.3,https://www.imdb.com/title/tt0045152/,103.0,1950
Singin&apos; in the Rain,89,1952,Musical,1h 43m,8.3,https://www.imdb.com/title/tt0045152/,103.0,1950
Singin&apos; in the Rain,89,1952,Romance,1h 43m,8.3,https://www.imdb.com/title/tt0045152/,103.0,1950
Idi i smotri,90,1985,Drama,2h 22m,8.3,https://www.imdb.com/title/tt0091251/,142.0,1980
Idi i smotri,90,1985,Thriller,2h 22m,8.3,https://www.imdb.com/title/tt0091251/,142.0,1980
Idi i smotri,90,1985,War,2h 22m,8.3,https://www.imdb.com/title/tt0091251/,142.0,1980
Requiem for a Dream,91,2000,Drama,1h 42m,8.3,https://www.imdb.com/title/tt0180093/,102.0,2000
Star Wars: Episode VI - Return of the Jedi,92,1983,Action,2h 11m,8.3,https://www.imdb.com/title/tt0086190/,131.0,1980
Star Wars: Episode VI - Return of the Jedi,92,1983,Adventure,2h 11m,8.3,https://www.imdb.com/title/tt0086190/,131.0,1980
Star Wars: Episode VI - Return of the Jedi,92,1983,Fantasy,2h 11m,8.3,https://www.imdb.com/title/tt0086190/,131.0,1980
Toy Story 3,93,2010,Animation,1h 43m,8.3,https://www.imdb.com/title/tt0435761/,103.0,2010
Toy Story 3,93,2010,Adventure,1h 43m,8.3,https://www.imdb.com/title/tt0435761/,103.0,2010
Toy Story 3,93,2010,Comedy,1h 43m,8.3,https://www.imdb.com/title/tt0435761/,103.0,2010
Jagten,94,2012,Drama,1h 55m,8.3,https://www.imdb.com/title/tt2106476/,115.0,2010
Ikiru,95,1952,Drama,2h 23m,8.3,https://www.imdb.com/title/tt0044741/,143.0,1950
Eternal Sunshine of the Spotless Mind,96,2004,Drama,1h 48m,8.3,https://www.imdb.com/title/tt0338013/,108.0,2000
